対象年度,対象リーグ,FB_Name,SC_Name,FB_Pos,SC_Position_Group,FB_Minutes,SC_Minutes,analysis_position_code,analysis_position_jp,analysis_position_source,SC_Primary_Position,SC_Primary_Position_Group,player_name_normalized,dominant_team_name,team_season_signature,fb_dominant_team_name,fb_team_season_signature,join_method,join_method_detail,join_status,Notes
2024-2025,J3,植田　悠太,Yuta Ueda,DF,Full Back,381.0,16.15,SH,サイドハーフ,LW (Position Group: Wide Attacker),LW,Wide Attacker,Yuta Ueda,大宮,2024|大宮|16.15,大宮,2024|大宮|381.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,鈴木　隆雅,Ryuga Suzuki,DF,Wide Attacker,373.0,390.42,SH,サイドハーフ,Left Winger (Position Group: Wide Attacker),Left Winger,Wide Attacker,Ryuga Suzuki,栃木Ｃ,2025|栃木Ｃ|390.42,栃木Ｃ,2025|栃木Ｃ|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08)
2024-2025,J3,下上　昇大,Shota Shimogami,MF,Midfield,350.0,367.47,SH,サイドハーフ,RM (Position Group: Midfield),RM,Midfield,Shota Shimogami,岩手,2024|岩手|367.47,岩手,2024|岩手|350.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,住田　将,Sho Sumida,MF,Midfield,340.0,298.93,SH,サイドハーフ,LM (Position Group: Midfield),LM,Midfield,Sho Sumida,松本,2024|松本|262.83; 2025|FC大阪|36.10,松本,2024|松本|313.00; 2025|FC大阪|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,佐藤　璃樹,Riki Sato,MF,Midfield,334.0,283.61,SH,サイドハーフ,LM (Position Group: Midfield),LM,Midfield,Riki Sato,今治,2024|今治|283.61,今治,2024|今治|334.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,土館　賢人,Kento Dodate,MF,Midfield,331.0,327.28,SH,サイドハーフ,RM (Position Group: Midfield),RM,Midfield,Kento Dodate,YS横浜,2024|YS横浜|327.28,YS横浜,2024|YS横浜|331.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,石山　青空,Aozora Ishiyama,MF,Midfield,330.0,390.87,SH,サイドハーフ,Left Midfield (Position Group: Midfield),Left Midfield,Midfield,Aozora Ishiyama,松本,2025|松本|390.87,松本,2025|松本|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,豊田　晃大,Koki Toyoda,FW,Midfield,326.0,251.02,SH,サイドハーフ,LM (Position Group: Midfield),LM,Midfield,Koki Toyoda,岩手,2024|岩手|251.02,岩手,2024|岩手|326.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08)
2024-2025,J3,吉田　桂介, Keisuke Yoshida,MF,Midfield,324.0,362.76,SH,サイドハーフ,Left Midfield (Position Group: Midfield),Left Midfield,Midfield,Keisuke Yoshida,長野,2025|長野|362.76,長野,2025|長野|0.00,normalized,composite_normalized,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,長野　星輝,Shoki  Nagano,FW,Wide Attacker,317.0,293.15999999999997,SH,サイドハーフ,RF (Position Group: Wide Attacker),RF,Wide Attacker,Shoki Nagano,福島,2024|福島|293.16,福島,2024|福島|317.00,normalized,composite_normalized,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,鍵山　慶司,Keiji Kagiyama,DF,Midfield,312.0,361.80999999999995,SH,サイドハーフ,RM (Position Group: Midfield),RM,Midfield,Keiji Kagiyama,琉球,2024|琉球|361.81,琉球,2024|琉球|312.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=high; issues元候補: Takayuki Fukumura
2024-2025,J3,金原　朝陽,Asahi  Kanehara,MF,Midfield,304.0,388.55,SH,サイドハーフ,Right Midfield (Position Group: Midfield),Right Midfield,Midfield,Asahi Kanehara,高知,2025|高知|388.55,高知,2025|高知|0.00,normalized,composite_normalized,matched,"score>=82.0, gap>=12.0, name>=70.0"
