FB_Name,SC_Name,analysis_position_code,analysis_position_jp,z_aerial_duel_win_rate_pct,z_tackle_win_rate_pct,z_interceptions_per90,z_blocks_per90,z_clearances_per90,z_pass_success_rate_pct,z_successful_forward_passes_per90,z_successful_long_passes_per90,z_medaccel_count_full_all_per_match,z_highaccel_count_full_all_per_match,cluster_id,cluster_distance_to_center
林田　魁斗,Kaito Hayashida,CB,センターバック,-0.124345,0.562488,-0.964506,0.734593,0.401616,-2.467892,-2.190053,-0.792871,-1.572259,-0.782886,1,3.048827
野末　学,Satoru Nozue,CB,センターバック,-0.981881,-1.056581,-0.178907,-0.200170,0.010415,1.412899,2.489636,-0.533475,-1.477965,-1.254303,0,3.345471
小西　慶太郎,Keitaro Konishi,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.903390,0.939975,3,0.626360
増谷　幸祐,Kosuke Masutani,CB,センターバック,-0.546144,1.435091,-0.964506,-0.321455,-1.141300,0.805511,1.074901,-0.491769,-1.478517,-0.644781,0,3.019916
小笠原　佳祐,Keisuke Ogasawara,CB,センターバック,0.232565,1.192476,-0.134334,0.226419,-0.339974,-0.186017,-0.623818,-0.939731,-0.569784,0.165836,3,1.994522
宮市　剛,Tsuyoshi Miyaichi,CB,センターバック,-0.226114,-0.719987,-0.964506,-1.499892,-1.390441,-2.254228,-1.277026,-1.335324,-1.287580,-0.990044,1,3.292111
グスタボ　リッシ,Gustavo Martini Rissi,CB,センターバック,-0.990526,-1.057481,0.416665,-0.364977,1.941237,0.245081,-0.461980,1.586947,0.882133,0.287429,3,3.094194
藤井　葉大,Yota Fujii,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.302310,1.710275,3,1.213926
脇本　晃成,Kosei Wakimoto,CB,センターバック,0.180983,-0.307195,-0.305046,0.301434,0.588372,0.811056,-0.247088,0.527275,0.053495,0.442797,3,1.343972
小柳　達司,Tatsushi Koyanagi,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.591955,-0.151258,3,0.836380
井林　章,Akira Ibayashi,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,-0.956786,-0.206094,1,1.399424
眞鍋　旭輝,Hikaru Manabe,CB,センターバック,2.209650,-0.478921,-0.964506,-1.671461,-0.917991,1.711282,-0.637919,1.737961,0.358463,0.846754,0,3.743461
石井　光輝,Koki Ishii,CB,センターバック,-0.841738,2.992442,-0.964506,-1.643216,-2.371463,-1.712850,0.162592,-1.492963,1.185175,0.986586,2,4.189111
佐古　真礼,Maaya Sako,CB,センターバック,1.558573,-0.321315,0.541015,0.467957,0.551842,-1.479002,0.348320,-0.147555,0.042341,0.080271,3,2.431452
ヴァンイヤーデン　ショーン,Shawn Van Eerden,CB,センターバック,-0.482446,0.047043,-0.964506,0.849605,1.821232,0.365840,-0.329513,-1.543627,-1.621919,-1.343939,1,2.620536
宮崎　海斗,Kaito Miyazaki,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,1.138570,1.012481,3,0.815974
今瀬　淳也,Junya Imase,CB,センターバック,-0.985782,0.609658,-0.964506,-1.092117,-1.037581,1.200366,0.930858,1.308145,0.033071,-0.644781,0,1.855637
松村　厳,Gen Matsumura,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,-1.150648,-0.729528,1,1.197542
行德　瑛,Ei Gyotoku,CB,センターバック,-3.762774,2.992442,-0.964506,-3.290832,-0.122441,-2.986705,-1.437140,-2.226394,-0.349624,-0.334045,2,5.335710
濱田　水輝,Mizuki Hamada,CB,センターバック,0.947666,-2.406780,-0.114748,-0.590656,1.655725,-0.846801,-0.621515,-0.681113,-1.124574,-1.407498,1,2.551315
広瀬　健太,Kenta Hirose,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.585448,0.354015,3,0.454304
藤嵜　智貴,Tomoki Fujisaki,CB,センターバック,-0.193097,-1.426024,-0.964506,-0.807376,0.590949,-1.635383,-0.669355,-0.076807,-1.322208,-1.204107,1,1.821516
遠藤　元一,Genichi Endo,CB,センターバック,0.601675,-0.045000,-0.046434,0.321000,0.773284,0.632803,-0.043586,-0.803619,-0.291038,0.000595,3,1.558465
田辺　陽太,Yota Tanabe,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.061952,1.147930,3,0.842541
二ノ宮　慈洋,Jiyo Ninomiya,CB,センターバック,-2.506761,-4.135422,-0.964506,-3.290832,4.601248,-2.543316,-2.390035,-2.226394,0.260508,-1.290157,1,7.918593
