FB_Name,SC_Name,analysis_position_code,cluster_id,analysis_position_jp,cluster_distance_to_center,z_aerial_duel_win_rate_pct,z_tackle_win_rate_pct,z_interceptions_per90,z_blocks_per90,z_clearances_per90,z_pass_success_rate_pct,z_successful_forward_passes_per90,z_successful_long_passes_per90,z_medaccel_count_full_all_per_match,z_highaccel_count_full_all_per_match,distance_to_cluster_center_3,score_cluster_0,score_cluster_1,score_cluster_2,score_cluster_3,rank_cluster_0,rank_cluster_1,rank_cluster_2,rank_cluster_3
砂森　和也,Kazuya Sunamori,CB,2,センターバック,4.017391,-0.454423,1.371393,3.648469,-0.498813,-1.866993,-0.27374,0.519177,0.259321,0.556137,0.144012,4.500970678456703,0.504758,-2.8775530000000002,5.019862,-4.500970678456703,46,139,3,132
齊藤　隆成,Ryusei Saito,CB,1,センターバック,3.032818,-0.97683,-0.550481,0.080038,-0.682949,1.201442,-2.181451,-1.414561,-0.854468,0.038285,0.03319,3.374391447935168,-4.45048,0.1863269999999999,-0.470443,-3.374391447935168,141,62,111,97
大城　蛍,Kei Oshiro,CB,3,センターバック,1.81525,-0.081574,0.292156,0.081789,0.746287,0.509499,0.55149,1.117957,-0.041637,-0.091501,-0.230466,1.8152506055938944,1.6278100000000002,0.519426,0.373945,-1.8152506055938944,31,52,40,38
柳　雄太郎,Yutaro Yanagi,CB,2,センターバック,2.672306,-3.678265,0.244569,1.245368,1.056152,-1.43149,-0.403736,-1.644898,-1.184595,-0.402524,-1.017665,5.103867887278725,-3.2332289999999997,-4.707231,1.489937,-5.103867887278725,138,148,17,139
吉田　知樹,Tomoki Yoshida,CB,3,センターバック,0.877605,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,-0.19679,0.809466,0.8776051310914266,-0.021795000000000023,0.202793,-0.11054,-0.8776051310914266,62,61,66,21
藤原　拓也,Takuya Fujiwara,CB,3,センターバック,2.887954,-0.545438,0.008288,1.8225,-0.001485,0.312625,-0.158486,-0.004549,-1.32536,-0.019401,-1.169149,2.887954580846451,-1.4883950000000001,-0.213412,1.830788,-2.887954580846451,124,82,13,84
堂鼻　起暉,Kazuki Dohana,CB,0,センターバック,2.996232,0.866755,-0.122468,0.710689,0.173386,0.226235,0.917391,2.960495,-0.759608,0.932071,0.194208,3.414348357420051,3.1182779999999997,0.16091900000000015,0.588221,-3.414348357420051,17,65,33,99
岡崎　慎,Makoto Okazaki,CB,1,センターバック,2.753312,0.375713,0.96748,-0.964506,-0.456933,-0.601014,-0.419845,1.204105,-0.754959,-0.410172,-0.725843,2.817042725823128,0.02930099999999991,0.18487099999999995,0.002974000000000032,-2.817042725823128,52,63,50,82
平　智広,Tomohiro Taira,CB,0,センターバック,3.020047,-0.454936,1.979961,-0.964506,-1.170227,-1.578582,0.184048,2.573166,0.43417,-0.25721,0.209744,4.275406016290967,3.191384,-1.776308,1.0154550000000002,-4.275406016290967,15,129,27,125
小林　大智,Daichi Kobayashi,CB,3,センターバック,0.48134,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.298234,0.473871,0.48133885822463995,-0.021795000000000023,-0.292231,-0.11054,-0.48133885822463995,65,85,69,3
林田　魁斗,Kaito Hayashida,CB,1,センターバック,3.048827,-0.124345,0.562488,-0.964506,0.734593,0.401616,-2.467892,-2.190053,-0.792871,-1.572259,-0.782886,4.414346878523254,-5.450816,1.8495300000000001,-0.402018,-4.414346878523254,145,16,106,131
野末　学,Satoru Nozue,CB,0,センターバック,3.345471,-0.981881,-1.056581,-0.178907,-0.20017,0.010415,1.412899,2.489636,-0.533475,-1.477965,-1.254303,4.3286844537548586,3.3690599999999997,0.5064989999999999,-1.235488,-4.3286844537548586,14,54,129,126
小西　慶太郎,Keitaro Konishi,CB,3,センターバック,0.62636,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.90339,0.939975,0.6263589451592434,-0.021795000000000023,-0.897387,-0.11054,-0.6263589451592434,67,110,71,10
増谷　幸祐,Kosuke Masutani,CB,0,センターバック,3.019916,-0.546144,1.435091,-0.964506,-0.321455,-1.1413,0.805511,1.074901,-0.491769,-1.478517,-0.644781,3.603317279316103,1.388643,-0.20892699999999986,0.4705849999999999,-3.603317279316103,33,81,36,103
