FB_Name,SC_Name,analysis_position_code,cluster_id,analysis_position_jp,cluster_distance_to_center,z_running_distance_full_all_per_match,z_hi_distance_full_all_per_match,z_sprint_count_full_all_per_match,z_crosses_per90,z_cross_success_rate_pct,z_pa_entry_per90,z_tackle_win_rate_pct,z_blocks_per90,z_forward_long_pass_success_rate_pct,z_regain_within_5s_per90,distance_to_cluster_center_2,score_cluster_0,score_cluster_1,score_cluster_2,score_cluster_3,rank_cluster_0,rank_cluster_1,rank_cluster_2,rank_cluster_3
安藤　由翔,Naoto Ando,SB,0,サイドバック,2.398409,0.759973,0.961781,0.513358,0.473851,1.201428,0.525076,-1.422114,0.283394,-0.798462,-1.086787,3.074296777304202,2.235112,-1.601855,-3.074296777304202,-0.4231870000000001,24,104,68,83
森川　裕基,Yuki Morikawa,SB,0,サイドバック,2.850411,0.512405,0.37656,0.30333,-0.85293,-1.504063,-0.94383,-0.919868,-0.548097,1.700892,-0.578529,3.2365939074667676,1.192295,0.5742660000000002,-3.2365939074667676,-2.716628,43,34,77,114
田中　康介,Kosuke Tanaka,SB,3,サイドバック,1.948961,-0.144594,-0.362241,-0.315361,1.995976,0.376405,0.909196,1.705251,0.092115,-1.185578,-0.519036,3.1016706288037748,-0.8221959999999999,-1.6124990000000001,-3.1016706288037748,4.610423,81,105,72,4
鈴木　裕斗,Hiroto  Suzuki,SB,0,サイドバック,1.206946,1.240985,1.347483,1.669342,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,3.281046326823808,4.25781,-0.161028,-3.281046326823808,-0.093431,9,69,79,73
上原　牧人,Makito Uehara,SB,3,サイドバック,1.839469,-0.003846,0.244077,0.157478,0.482303,1.224501,0.788654,1.093327,-0.758347,0.433976,-0.433657,2.3734185844058353,0.397709,-0.7580280000000001,-2.3734185844058353,2.3642839999999996,60,86,45,16
安藤　一哉,Kazuya Ando,SB,2,サイドバック,3.750137,-0.187752,-0.236256,-0.361108,2.115528,-1.989153,0.007754,-0.729527,1.35253,-1.481228,-1.235375,3.7501369196230687,-0.7851159999999999,-1.3640729999999999,-3.7501369196230687,1.3937549999999996,80,99,93,22
宮脇　茂夫,Shigeo Miyawaki,SB,3,サイドバック,6.065996,0.246141,0.283823,0.311558,3.796978,1.449256,3.225872,-0.631406,3.584364,-1.989297,2.739642,7.530333700042515,0.841522,4.334709,-7.530333700042515,6.391444,51,5,122,1
高野　裕維,Yui Takano,SB,0,サイドバック,1.808628,1.664249,0.183676,-0.734574,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,2.36985612815061,1.1133510000000002,-0.161028,-2.36985612815061,-0.093431,44,72,44,76
河村　匠,Takumi Kawamura,SB,0,サイドバック,0.654509,0.477159,0.868461,0.836944,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,2.1126029578687993,2.182564,-0.161028,-2.1126029578687993,-0.093431,27,62,32,66
奥井　諒,Ryo Okui,SB,2,サイドバック,1.212658,0.518739,-0.234151,-0.127976,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,1.2126582560325887,0.15661199999999995,-0.161028,-1.2126582560325887,-0.093431,62,52,16,56
川名　連介,Rensuke Kawana,SB,0,サイドバック,1.185871,-0.036814,0.352021,0.691386,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,1.507067408220017,1.0065929999999998,-0.161028,-1.507067408220017,-0.093431,49,56,21,60
冨士田　康人,Yasuto Fujita,SB,0,サイドバック,3.166981,1.981635,1.588225,0.648839,-1.497637,0.000517,-1.707825,0.423124,1.564456,-1.185319,0.592849,4.7061576002908145,4.218699,0.971986,-4.7061576002908145,-2.7823379999999998,10,30,110,116
下口　稚葉,Wakaba Shimoguchi,SB,0,サイドバック,1.957248,1.493268,0.857177,-0.525327,0.1957,-0.412333,-0.240516,0.045716,-0.019362,1.274725,0.052884,2.927100200624673,1.8251180000000002,1.3082470000000002,-2.927100200624673,0.000900000000000005,34,24,60,45
三原　秀真,Shuma Mihara,SB,0,サイドバック,0.677634,0.806219,0.671461,0.254713,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,1.9216277793560854,1.7323929999999998,-0.161028,-1.9216277793560854,-0.093431,37,46,29,50
小川　大貴,Daiki Ogawa,SB,2,サイドバック,0.665271,-0.536007,-0.77398,-0.615383,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,0.6652713883145734,-1.92537,-0.161028,-0.6652713883145734,-0.093431,95,53,5,57
田中　陸,Riku Tanaka,SB,2,サイドバック,3.096424,-0.999446,-1.44864,-1.575955,-1.498223,1.076872,-1.739702,-0.806828,-0.546118,-0.056431,-0.457834,3.0964232981964854,-4.024041,-1.0603829999999999,-3.0964232981964854,-4.044753,111,96,71,120
