FB_Name,SC_Name,analysis_position_code,analysis_position_jp,z_running_distance_full_all_per_match,z_hi_distance_full_all_per_match,z_sprint_count_full_all_per_match,z_crosses_per90,z_cross_success_rate_pct,z_pa_entry_per90,z_tackle_win_rate_pct,z_blocks_per90,z_forward_long_pass_success_rate_pct,z_regain_within_5s_per90,cluster_id,cluster_distance_to_center
長峰　祐斗,Yuto Nagamine,SB,サイドバック,-1.154819,-0.542481,-0.391899,0.150683,0.245359,-0.515203,-0.039913,-0.971739,-0.307797,0.760014,2,1.486330
藤沼　拓夢,Takumu Fujinuma,SB,サイドバック,-2.135544,-1.971451,-1.408004,-1.150254,-1.157431,-0.999363,-3.677476,-1.600609,-3.005436,-1.204527,2,5.677898
柴田　徹,Toru Shibata,SB,サイドバック,-1.614213,-1.504434,-1.408004,-0.899100,1.738887,-0.454779,0.948809,2.219246,1.565157,2.802226,1,3.898662
船橋　勇真,Yuma Funabashi,SB,サイドバック,0.069759,0.730333,1.050543,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,0,1.042002
若林　龍,Ryu Wakabayashi,SB,サイドバック,-0.904912,-0.241892,0.197868,-0.102397,0.313007,0.236198,1.651653,-0.818807,-0.522783,-0.888677,2,2.133716
櫻井　風我,Fuga  Sakurai,SB,サイドバック,-1.450065,-1.243950,-0.931553,1.865164,1.590745,2.414113,1.344850,-1.820128,0.987337,-0.743361,3,3.887674
大山　武蔵,Musashi Oyama,SB,サイドバック,0.920311,0.407354,0.901325,0.266935,-0.116147,0.087901,-0.317050,0.238304,-0.344652,0.225450,0,1.040716
田頭　亮太,Ryota Tagashira,SB,サイドバック,-0.746927,-0.160238,0.205447,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,2,0.854612
藤谷　壮,So Fujitani,SB,サイドバック,-2.058222,-1.907916,-1.458390,0.654285,-1.505453,-1.185645,1.884096,0.628607,-1.408646,0.029036,1,3.520555
前田　紘基,Hiroki Maeda,SB,サイドバック,0.336710,-0.106397,-0.632069,-0.357419,-0.578940,-1.839375,-0.315205,0.909894,-0.481478,-1.470467,2,2.755527
坂本　稀吏也,Kiriya  Sakamoto,SB,サイドバック,0.394534,-0.039849,-0.566382,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,2,1.154703
ルーカス　セナ,Lucas Breno Sena Lima,SB,サイドバック,-1.104742,-1.127415,-1.272524,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,2,1.375691
小竹　知恩,Sean Kotake,SB,サイドバック,-0.999710,-0.840917,-0.431488,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,2,0.809188
大越　寛人,Hiroto Okoshi,SB,サイドバック,0.022149,-0.566209,-1.075461,-1.487511,1.738887,-1.178272,1.559381,-0.400086,-3.005436,0.167428,2,4.265468
小川　真輝,Masaki Ogawa,SB,サイドバック,-2.016378,-1.897599,-1.962243,-1.362587,-0.909175,-0.559625,0.422597,1.062594,-0.876915,-0.177315,1,2.362296
柳　世根,Se-gun Ryu,SB,サイドバック,-0.097424,0.086960,-0.040881,-1.352295,-2.895222,-1.743027,-0.631406,1.599032,-0.286578,0.239736,1,3.587757
玉城　大志,Taishi Tamashiro,SB,サイドバック,-0.062984,-0.962445,-1.734863,-1.516458,-2.895222,2.424449,0.422597,3.265895,1.784934,1.861794,1,4.731418
大串　昇平,Shohei Ogushi,SB,サイドバック,-0.563320,-0.555991,-0.176362,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,2,0.567298
小泉　隆斗,Ryuto Koizumi,SB,サイドバック,-0.584976,-0.787125,-0.946138,-0.397534,0.310869,-0.529690,-1.420525,0.207366,1.882637,4.210692,1,4.148574
秋山　陽介,Yosuke Akiyama,SB,サイドバック,1.981635,1.440456,1.363191,-1.032607,0.580360,-0.808552,0.949599,-1.680792,-0.769930,0.358635,0,2.878397
川島　功奨,Kosuke K Kawashima,SB,サイドバック,1.443445,0.713404,0.501041,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,0,0.723944
黒﨑　隼人,Hayato Kurosaki,SB,サイドバック,0.512673,1.100903,1.437090,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,0,0.984962
西山　峻太,Shunta Nishiyama,SB,サイドバック,-1.861197,-2.313064,-2.258117,-1.823518,-2.895222,-1.721841,-0.805844,2.084110,0.188144,-1.283958,1,3.855073
大竹　優心,Yushin Otake,SB,サイドバック,-2.135544,-2.370645,-2.258117,-1.440311,-2.895222,-1.705965,-3.677476,3.584364,-3.005436,2.368283,1,6.500884
五月田　星矢,Seiya Satsukida,SB,サイドバック,-1.564155,-1.854124,-1.731310,-0.638156,0.578622,-0.168795,0.087233,0.105978,2.068920,-0.565867,1,3.070611
大熊　健太,Kenta Okuma,SB,サイドバック,-1.590057,-2.370645,-2.116199,-0.748671,1.738887,0.112477,0.422597,-1.820128,1.465576,4.210692,1,5.281184
寺島　はるひ,Haruhi Terashima,SB,サイドバック,-1.812899,-1.781762,-1.740548,2.713279,0.128836,0.654079,-1.423753,-0.378399,-2.146486,1.055090,2,4.493943
