FB_Name,SC_Name,analysis_position_code,analysis_position_jp,raw_running_distance_full_all_per_match,win_running_distance_full_all_per_match,z_running_distance_full_all_per_match,imputed_running_distance_full_all_per_match,raw_ball_gains_per90,win_ball_gains_per90,z_ball_gains_per90,imputed_ball_gains_per90,raw_interceptions_per90,win_interceptions_per90,z_interceptions_per90,imputed_interceptions_per90,raw_pass_success_rate_pct,win_pass_success_rate_pct,z_pass_success_rate_pct,imputed_pass_success_rate_pct,raw_forward_pass_success_rate_pct,win_forward_pass_success_rate_pct,z_forward_pass_success_rate_pct,imputed_forward_pass_success_rate_pct,raw_short_pass_share_pct,win_short_pass_share_pct,z_short_pass_share_pct,imputed_short_pass_share_pct,raw_long_pass_share_pct,win_long_pass_share_pct,z_long_pass_share_pct,imputed_long_pass_share_pct,raw_opponent_half_gain_share_pct,win_opponent_half_gain_share_pct,z_opponent_half_gain_share_pct,imputed_opponent_half_gain_share_pct,imputed_count,imputed_ratio,cluster_id,cluster_distance_to_center,distance_to_cluster_center_1,score_cluster_0,score_cluster_1,score_cluster_2,rank_cluster_0,rank_cluster_1,rank_cluster_2
米原　秀亮,Shusuke Yonehara,CMF,セントラルMF,1250.2,1250.2,-0.311097,0,5.611192930780559,5.611192930780559,-0.936113,0,0.2650957290132548,0.2650957290132548,0.391542,0,73.67704081632652,73.67704081632652,-1.039889,0,57.36004901960785,57.36004901960785,0.059413,0,52.34693877551019,52.34693877551019,-1.205807,0,10.816326530612246,10.816326530612246,0.799245,0,30.708661417322837,30.708661417322837,-0.762351,0,0,0.0,0,1.941515,2.4146916281490274,0.9030210000000001,-2.4146916281490274,-2.1862830000000004,9,14,27
末木　裕也,Hiroya Sueki,CMF,セントラルMF,1842.5833333333333,1842.5833333333333,1.33835,0,6.680073126142596,6.680073126142596,-0.255426,0,0.263254113345521,0.263254113345521,0.376195,0,81.60878938640133,81.60878938640133,0.780676,0,64.55436893203886,64.55436893203886,1.127836,0,60.19900497512438,60.19900497512438,0.265612,0,6.550580431177446,6.550580431177446,-1.123959,0,42.857142857142854,42.857142857142854,1.68036,0,0,0.0,1,2.44448,2.444480635056453,-2.160061,-2.444480635056453,2.174124,27,15,6
工藤　真人,Manato Kudo,CMF,セントラルMF,1428.645161290323,1428.645161290323,0.18577,0,,6.897988045551083,-0.116653,1,,0.2206312712167098,0.021018,1,,78.60197687570692,0.090525,1,,57.589421672924495,0.093477,1,,57.54542629573295,-0.231649,1,,9.281646751306944,0.107337,1,,33.92307692307692,-0.116024,1,7,0.875,1,0.573718,0.5737175788582741,-0.099841,-0.5737175788582741,-0.047646999999999995,18,2,17
岡庭　裕貴,Yuki Okaniwa,CMF,セントラルMF,1586.6875,1586.6875,0.625827,0,,6.897988045551083,-0.116653,1,,0.2206312712167098,0.021018,1,,78.60197687570692,0.090525,1,,57.589421672924495,0.093477,1,,57.54542629573295,-0.231649,1,,9.281646751306944,0.107337,1,,33.92307692307692,-0.116024,1,7,0.875,1,0.576533,0.5765329476742852,-0.099841,-0.5765329476742852,-0.047646999999999995,15,3,14
島川　俊郎,Toshio Shimakawa,CMF,セントラルMF,1601.9032258064517,1601.9032258064517,0.668194,0,,6.897988045551083,-0.116653,1,,0.2206312712167098,0.021018,1,,78.60197687570692,0.090525,1,,57.589421672924495,0.093477,1,,57.54542629573295,-0.231649,1,,9.281646751306944,0.107337,1,,33.92307692307692,-0.116024,1,7,0.875,1,0.594257,0.5942565743136545,-0.099841,-0.5942565743136545,-0.047646999999999995,17,5,16
土井　紅貴,Koki Doi,CMF,セントラルMF,2312.8636363636365,2012.5524912587405,1.811616,0,,6.897988045551083,-0.116653,1,,0.2206312712167098,0.021018,1,,78.60197687570692,0.090525,1,,57.589421672924495,0.093477,1,,57.54542629573295,-0.231649,1,,9.281646751306944,0.107337,1,,33.92307692307692,-0.116024,1,7,0.875,1,1.506329,1.5063289028293256,-0.099841,-1.5063289028293256,-0.047646999999999995,14,9,13
岩本　翔,Sho Iwamoto,CMF,セントラルMF,961.891891891892,961.891891891892,-1.113869,0,6.107784431137725,6.107784431137725,-0.619872,0,0.3592814371257484,0.3592814371257484,1.176394,0,81.84483985765127,81.84483985765127,0.834856,0,66.67435897435897,66.67435897435897,1.442675,0,70.8185053380783,70.8185053380783,2.255626,0,3.9145907473309607,4.2349970411563,-2.167935,0,44.11764705882353,44.11764705882353,1.933811,0,0,0.0,2,2.018323,4.477900712104055,-3.622663,-4.477900712104055,4.533157,29,30,4
河井　陽介,Yosuke Kawai,CMF,セントラルMF,753.6842105263158,753.6842105263158,-1.693608,0,7.367256637168142,7.367256637168142,0.182187,0,0.1991150442477876,0.1991150442477876,-0.158278,0,83.74658385093169,83.74658385093169,1.271361,0,62.263052208835326,62.263052208835326,0.787554,0,52.48447204968944,52.48447204968944,-1.180034,0,10.041407867494824,10.041407867494824,0.449874,0,36.48648648648648,36.48648648648648,0.399404,0,0,0.0,1,2.660363,2.6603626536226224,-0.6393,-2.6603626536226224,0.8788809999999999,22,17,7
喜山　康平,Kohei Kiyama,CMF,セントラルMF,695.6296296296297,695.6296296296297,-1.855257,0,7.115902964959569,7.115902964959569,0.02212,0,0.1617250673854447,0.1617250673854447,-0.46985,0,70.86683501683501,70.86683501683501,-1.684913,0,51.338783269961986,51.338783269961986,-0.834802,0,53.03030303030303,53.03030303030303,-1.077749,0,10.606060606060606,10.606060606060606,0.704447,0,39.77272727272727,39.77272727272727,1.060172,0,0,0.0,0,2.585433,3.389371909244248,2.41148,-3.389371909244248,-3.5974640000000004,6,21,29
柴田　壮介,Sosuke Shibata,CMF,セントラルMF,1808.0,1808.0,1.242055,0,10.885766646304216,10.49737441849537,2.175516,0,0.384850335980452,0.384850335980452,1.389461,0,75.73633841886269,75.73633841886269,-0.567221,0,57.81879432624114,57.81879432624114,0.127541,0,60.05547850208044,60.05547850208044,0.238716,0,9.153952843273233,9.153952843273233,0.049767,0,48.48484848484848,45.10026737967913,2.131387,0,0,0.0,1,3.311641,3.3116407219905364,2.792504,-3.3116407219905364,-0.20096399999999998,5,20,21
