対象年度,対象リーグ,FB_Name,SC_Name,FB_Pos,SC_Position_Group,FB_Minutes,SC_Minutes,analysis_position_code,analysis_position_jp,analysis_position_source,SC_Primary_Position,SC_Primary_Position_Group,player_name_normalized,dominant_team_name,team_season_signature,fb_dominant_team_name,fb_team_season_signature,join_method,join_method_detail,join_status,Notes
2024-2025,J3,碓井　聖生,Shosei Usui,FW,Center Forward,2030.0,1758.35,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Shosei Usui,富山,2024|富山|1758.35,富山,2024|富山|2030.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,太田　龍之介,Ryunosuke Ota,FW,Center Forward,2014.0,2147.59,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Ryunosuke Ota,栃木SC,2025|栃木SC|2147.59,栃木SC,2025|栃木SC|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,東家　聡樹,Toshiki Toya,FW,Center Forward,2000.0,2180.37,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Toshiki Toya,高知,2025|高知|2180.37,高知,2025|高知|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,進　昂平,Kohei Shin,FW,Center Forward,1984.0,2101.43,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Kohei Shin,長野,2025|長野|1807.91; 2024|長野|293.52,長野,2024|長野|305.00; 2025|長野|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,田中　想来,Sora Tanaka,FW,Center Forward,1894.0,2111.83,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Sora Tanaka,松本,2025|松本|2111.83,松本,2025|松本|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,木匠　貴大,Takahiro Kitsui,MF,Center Forward,1853.0,1661.14,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Takahiro Kitsui,FC大阪,2025|FC大阪|1265.52; 2024|FC大阪|395.62,FC大阪,2024|FC大阪|765.00; 2025|FC大阪|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=medium; issues元候補: Yuto Kokuryo
2024-2025,J3,河辺　駿太郎,Shuntaro Kawabe,FW,Center Forward,1764.0,1932.18,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Shuntaro Kawabe,岩手,2024|岩手|1194.86; 2025|北九州|737.32,岩手,2024|岩手|1100.00; 2025|北九州|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,岩渕　良太,Ryota Iwabuchi,MF,Midfield,1709.0,1376.9399999999998,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Ryota Iwabuchi,琉球,2024|琉球|949.30; 2025|琉球|427.64,琉球,2024|琉球|1355.00; 2025|琉球|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=medium; issues元候補: Keiji Kagiyama
2024-2025,J3,新谷　聖基,Masaki Shintani,FW,Center Forward,1700.0,1800.19,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Masaki Shintani,高知,2025|高知|1800.19,高知,2025|高知|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08) / SC元データ名: Masaki  Shintani
2024-2025,J3,松木　駿之介,Shunnosuke Matsuki,FW,Center Forward,1660.0,1208.24,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Shunnosuke Matsuki,鳥取,2024|鳥取|1208.24,鳥取,2024|鳥取|1660.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,パトリック,Anderson Patric Aguiar Oliveira,FW,Center Forward,1645.0,1875.55,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Anderson Patric Aguiar Oliveira,金沢,2025|金沢|1875.55,金沢,2025|金沢|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08)
2024-2025,J3,白輪地　敬大,Keita Shirawachi,FW,Center Forward,1607.0,1847.15,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Keita Shirawachi,沼津,2025|沼津|1847.15,沼津,2025|沼津|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,横山　夢樹,Yumeki Yokoyama,MF,Midfield,1555.0,1474.34,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Yumeki Yokoyama,今治,2024|今治|1474.34,今治,2024|今治|1555.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=high; issues元候補: Keishi Kusumi
2024-2025,J3,平岡　将豪,Masahide Hiraoka,FW,Center Forward,1526.0,1628.24,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Masahide Hiraoka,栃木Ｃ,2025|栃木Ｃ|1628.24,栃木Ｃ,2025|栃木Ｃ|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,マテウス　レイリア,Matheus Leiria Dos Santos,FW,Center Forward,1513.0,1355.93,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Matheus Leiria Dos Santos,富山,2024|富山|1355.93,富山,2024|富山|1513.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,脇坂　崚平,Ryohei Wakizaka,MF,Midfield,1483.0,1381.53,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Ryohei Wakizaka,YS横浜,2024|YS横浜|1045.56; 2025|八戸|335.97,YS横浜,2024|YS横浜|1235.00; 2025|八戸|0.00,exact,composite_exact,matched,j3_2024_2025_missing_english_name_research 手動確定 (2026-04-09)
2024-2025,J3,オニエ　オゴチュクウ,Promise Oniye Ugochukwu,FW,Center Forward,1473.0,639.44,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Promise Oniye Ugochukwu,YS横浜,2024|YS横浜|639.44,YS横浜,2024|YS横浜|1473.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08)
2024-2025,J3,萱沼　優聖,Yusei Kayanuma,FW,Center Forward,1435.0,1551.89,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Yusei Kayanuma,YS横浜,2024|YS横浜|1551.89,YS横浜,2024|YS横浜|1435.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,瀬沼　優司,Yuji Senuma,FW,Center Forward,1384.0,1127.86,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Yuji Senuma,相模原,2024|相模原|1127.86,相模原,2024|相模原|1384.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,都倉　賢,Ken Tokura,FW,Center Forward,1380.0,1113.44,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Ken Tokura,岩手,2024|岩手|689.27; 2025|栃木Ｃ|424.17,岩手,2024|岩手|981.00; 2025|栃木Ｃ|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,ピーター　ウタカ,Peter Utaka,FW,Center Forward,1362.0,1528.49,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Peter Utaka,栃木Ｃ,2025|栃木Ｃ|1528.49,栃木Ｃ,2025|栃木Ｃ|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,川又　堅碁,Kengo Kawamata,FW,Center Forward,1356.0,1575.5,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Kengo Kawamata,沼津,2025|沼津|936.03; 2024|沼津|639.47,沼津,2024|沼津|650.00; 2025|沼津|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
