FB_Name,SC_Name,analysis_position_code,analysis_position_jp,raw_running_distance_full_all_per_match,raw_ball_gains_per90,raw_interceptions_per90,raw_pass_success_rate_pct,raw_forward_pass_success_rate_pct,raw_short_pass_share_pct,raw_long_pass_share_pct,raw_opponent_half_gain_share_pct,win_running_distance_full_all_per_match,win_ball_gains_per90,win_interceptions_per90,win_pass_success_rate_pct,win_forward_pass_success_rate_pct,win_short_pass_share_pct,win_long_pass_share_pct,win_opponent_half_gain_share_pct,z_running_distance_full_all_per_match,z_ball_gains_per90,z_interceptions_per90,z_pass_success_rate_pct,z_forward_pass_success_rate_pct,z_short_pass_share_pct,z_long_pass_share_pct,z_opponent_half_gain_share_pct,imputed_running_distance_full_all_per_match,imputed_ball_gains_per90,imputed_interceptions_per90,imputed_pass_success_rate_pct,imputed_forward_pass_success_rate_pct,imputed_short_pass_share_pct,imputed_long_pass_share_pct,imputed_opponent_half_gain_share_pct
小島　秀仁,Shuto Kojima,CMF,セントラルMF,1364.1,5.357821405953135,0.2279924002533249,78.70587155963302,54.76488095238095,61.46788990825688,8.256880733944955,36.17021276595745,1364.1,5.357821405953135,0.2279924002533249,78.70587155963302,54.76488095238095,61.46788990825688,8.256880733944955,36.17021276595745,0.006048806386097114,-1.0974654753368513,0.0823583339348645,0.11437223440213921,-0.3259941362414673,0.5033911914849797,-0.35467640079353985,0.33581015763979466,0,0,0,0,0,0,0,0
岩上　祐三,Yuzo Iwakami,CMF,セントラルMF,940.2,5.620915032679738,0.32679738562091504,71.96473684210527,48.29315589353612,44.86842105263158,18.421052631578945,30.23255813953488,940.2,5.620915032679738,0.32679738562091504,71.96473684210527,48.29315589353612,50.54869144013882,14.197038097335376,30.23255813953488,-1.1742687821163873,-0.9299216347304449,0.9057036285131267,-1.4329124479281505,-1.2871057959639016,-1.5427848154838455,2.323432420373741,-0.8580814720971752,0,0,0,0,0,0,0,0
高橋　耕平,Kohei Takahashi,CMF,セントラルMF,1166.888888888889,8.222591362126247,0.0,75.42163934426229,65.52972972972974,59.67213114754099,9.836065573770492,25.454545454545453,1166.888888888889,8.222591362126247,0.0,75.42163934426229,65.52972972972974,59.67213114754099,9.836065573770492,25.454545454545453,-0.5430706630466986,0.7268833957586102,-1.8175100709822152,-0.6394537033655685,1.272686521695113,0.1668794501507073,0.35729612637475106,-1.8188024486930898,0,0,0,0,0,0,0,0
河合　駿樹,Toshiki  Kawai,CMF,セントラルMF,1589.111111111111,,,,,,,,1589.111111111111,6.897988045551083,0.22063127121670983,78.60197687570692,57.589421672924495,57.54542629573295,9.281646751306944,33.92307692307692,0.6325752797357819,-0.11665329382302907,0.021017795979899424,0.09052541042509861,0.09347656054980932,-0.2316491098328535,0.1073374387124196,-0.11602425215534076,0,1,1,1,1,1,1,1
渡邉　綾平,Ryohei Watanabe,CMF,セントラルMF,1562.0,,,,,,,,1562.0,6.897988045551083,0.22063127121670983,78.60197687570692,57.589421672924495,57.54542629573295,9.281646751306944,33.92307692307692,0.5570864349886964,-0.11665329382302907,0.021017795979899424,0.09052541042509861,0.09347656054980932,-0.2316491098328535,0.1073374387124196,-0.11602425215534076,0,1,1,1,1,1,1,1
加藤　匠人,Takuto Kato,CMF,セントラルMF,1046.125,5.6103896103896105,0.0,86.08164556962025,69.22500000000001,65.66455696202532,5.537974683544303,31.25,1046.125,5.6103896103896105,0.0,86.08164556962025,68.241726836394,65.66455696202532,5.537974683544303,31.25,-0.8793286062208325,-0.9366244564461711,-1.8175100709822152,1.807324923258724,1.675443439927634,1.2898151638791298,-1.5804901010129315,-0.6535031667932879,0,0,0,0,0,0,0,0
岡澤　韻生,Hibiki Okazawa,CMF,セントラルMF,1294.7857142857142,,,,,,,,1294.7857142857142,6.897988045551083,0.22063127121670983,78.60197687570692,57.589421672924495,57.54542629573295,9.281646751306944,33.92307692307692,-0.1869515959801636,-0.11665329382302907,0.021017795979899424,0.09052541042509861,0.09347656054980932,-0.2316491098328535,0.1073374387124196,-0.11602425215534076,0,1,1,1,1,1,1,1
宮崎　智彦,Tomohiko Miyazaki,CMF,セントラルMF,687.25,6.212389380530974,0.3185840707964602,86.10592255125285,62.11290322580646,70.84282460136674,4.328018223234624,30.76923076923077,693.744212962963,6.212389380530974,0.3185840707964602,86.08710789048759,62.11290322580646,70.84282460136674,4.328018223234624,30.76923076923077,-1.8605063386817031,-0.5532576877844999,0.8372617974815623,1.8085786833098367,0.7652558502265899,2.2601837337169948,-2.125996704853843,-0.750172036332487,0,0,0,0,0,0,0,0
ガブリエル　エンリケ,Gabriel Nascimento,CMF,セントラルMF,1257.2,8.571428571428571,0.0,75.31171548117155,56.97906976744186,55.64853556485355,12.97071129707113,34.0,1257.2,8.571428571428571,0.0,75.31171548117155,56.97906976744186,55.64853556485355,12.97071129707113,34.0,-0.29160618349575107,0.9490306462264695,-1.8175100709822152,-0.6646843977085608,0.0028335978838588335,-0.5871122248865672,1.7705452794265182,-0.10055723302906822,0,0,0,0,0,0,0,0
由井　航太,Kota Yui,CMF,セントラルMF,1039.6,,,,,,,,1039.6,6.897988045551083,0.22063127121670983,78.60197687570692,57.589421672924495,57.54542629573295,9.281646751306944,33.92307692307692,-0.8974969767444909,-0.11665329382302907,0.021017795979899424,0.09052541042509861,0.09347656054980932,-0.2316491098328535,0.1073374387124196,-0.11602425215534076,0,1,1,1,1,1,1,1
坪川　潤之,Hiroyuki Tsubokawa,CMF,セントラルMF,840.7272727272727,9.810426540284361,0.2132701421800948,77.79055555555556,48.97551020408164,62.22222222222222,7.777777777777778,26.08695652173913,840.7272727272727,9.810426540284361,0.2132701421800948,77.79055555555556,48.97551020408164,62.22222222222222,7.777777777777778,26.08695652173913,-1.451243091095653,1.738051956960657,-0.04032274197506541,-0.09571916592522765,-1.1857698031700077,0.6447474170929187,-0.5706790712053383,-1.6916427657577322,0,0,0,0,0,0,0,0
山田　尚幸,Naoyuki Yamada,CMF,セントラルMF,1766.3333333333333,10.384615384615385,0.0,69.64494382022473,42.84603174603174,57.30337078651685,9.550561797752808,25.0,1766.3333333333333,10.384615384615385,0.0,69.64494382022473,43.28216202090592,57.30337078651685,9.550561797752808,25.352272727272727,1.1260371951931651,2.1037081129440285,-1.8175100709822152,-1.9653717977761278,-2.0312852216952857,-0.27700849923847265,0.2285772837154858,-1.8393665536677921,0,0,0,0,0,0,0,0
