対象年度,対象リーグ,FB_Name,SC_Name,FB_Pos,SC_Position_Group,FB_Minutes,SC_Minutes,analysis_position_code,analysis_position_jp,analysis_position_source,SC_Primary_Position,SC_Primary_Position_Group,player_name_normalized,dominant_team_name,team_season_signature,fb_dominant_team_name,fb_team_season_signature,join_method,join_method_detail,join_status,Notes
2024-2025,J3,藤谷　匠,Takumi Fujitani,DF,Central Defender,2327.0,2532.91,CB,センターバック,Right Center Back (Position Group: Central Defender),Right Center Back,Central Defender,Takumi Fujitani,福島,2025|福島|2532.91,福島,2025|福島|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,黒石　貴哉,Takaya Kuroishi,DF,Full Back,2258.0,1522.25,CB,センターバック,RCB (Position Group: Central Defender),RCB,Central Defender,Takaya Kuroishi,長野,2024|長野|1522.25,長野,2024|長野|2258.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,神山　京右,Kyosuke Kamiyama,DF,Central Defender,2256.0,1877.89,CB,センターバック,LCB (Position Group: Central Defender),LCB,Central Defender,Kyosuke Kamiyama,富山,2024|富山|1877.89,富山,2024|富山|2256.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,田代　真一,Masakazu Tashiro,DF,Central Defender,2249.0,2277.36,CB,センターバック,CB (Position Group: Central Defender),CB,Central Defender,Masakazu Tashiro,相模原,2024|相模原|1287.92; 2025|相模原|989.44,相模原,2024|相模原|1363.00; 2025|相模原|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08)
2024-2025,J3,長倉　颯,Hayate Nagakura,DF,Central Defender,2245.0,2446.64,CB,センターバック,Left Center Back (Position Group: Central Defender),Left Center Back,Central Defender,Hayate Nagakura,金沢,2025|金沢|2446.64,金沢,2025|金沢|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,加藤　慎太郎,Shintaro Kato,DF,Central Defender,2214.0,1997.29,CB,センターバック,Right Center Back (Position Group: Central Defender),Right Center Back,Central Defender,Shintaro Kato,岐阜,2025|岐阜|1277.91; 2024|八戸|699.43; 2025|八戸|19.95,八戸,2024|八戸|1043.00; 2025|八戸|0.00; 2025|岐阜|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,深港　壮一郎,Soichiro Fukaminato,DF,Central Defender,2171.0,1692.12,CB,センターバック,LCB (Position Group: Central Defender),LCB,Central Defender,Soichiro Fukaminato,讃岐,2024|讃岐|1692.12,讃岐,2024|讃岐|2171.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08)
2024-2025,J3,花房　稔,Minoru Hanafusa,DF,Central Defender,2160.0,1658.73,CB,センターバック,RCB (Position Group: Central Defender),RCB,Central Defender,Minoru Hanafusa,YS横浜,2024|YS横浜|1658.73,YS横浜,2024|YS横浜|2160.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,井上　航希,Koki Inoue,DF,Central Defender,2132.0,2266.29,CB,センターバック,Left Center Back (Position Group: Central Defender),Left Center Back,Central Defender,Koki Inoue,沼津,2025|沼津|1770.42; 2024|沼津|495.87,沼津,2024|沼津|540.00; 2025|沼津|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,水口　湧斗,Yuto Minakuchi,DF,Central Defender,2078.0,1978.23,CB,センターバック,RCB (Position Group: Central Defender),RCB,Central Defender,Yuto Minakuchi,FC大阪,2024|FC大阪|946.32; 2025|FC大阪|827.86; 2024|相模原|204.05,FC大阪,2024|FC大阪|900.00; 2024|相模原|467.00; 2025|FC大阪|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
