player_name_raw_skillcorner,player_name_normalized,dominant_team_name,team_season_key,team_season_signature,season_scope,sc_total_minutes,SC_Primary_Position,SC_Primary_Position_Minutes,SC_Primary_Position_Share,SC_Primary_Position_Group,SC_Secondary_Position,SC_Secondary_Position_Minutes,SC_Secondary_Position_Share,SC_Secondary_Position_Group,SC_All_Positions_Detail,analysis_position_code,analysis_position_jp,analysis_position_source
Rion Ichihara,Rion Ichihara,大宮,2024|大宮,2024|大宮|2163.90,2024-2025,2163.9,CB,1670.57,77.2,Central Defender,RCB,299.86,13.86,Central Defender,"CB(1671min/77.2%), RCB(300min/13.9%), LCB(193min/8.9%)",CB,センターバック,CB (Position Group: Central Defender)
Riyo Kawamoto,Riyo Kawamoto,岐阜,2025|岐阜,2025|岐阜|1053.58,2024-2025,1053.58,Center Forward,847.65,80.45,Center Forward,Attacking Midfield,130.93,12.43,Midfield,"Center Forward(848min/80.5%), Attacking Midfield(131min/12.4%), Right Winger(51min/4.9%), Left Winger(24min/2.2%)",FW,フォワード,Center Forward (Position Group: Center Forward)
Rodrigo Luiz Angelotti,Rodrigo Luiz Angelotti,鹿児島,2025|鹿児島; 2024|今治,2025|鹿児島|2031.38; 2024|今治|164.77,2024-2025,2196.15,Center Forward,2031.38,92.5,Center Forward,LM,80.16,3.65,Midfield,"Center Forward(2031min/92.5%), LM(80min/3.7%), CF(44min/2.0%), RM(21min/0.9%), LF(20min/0.9%)",FW,フォワード,Center Forward (Position Group: Center Forward)
Rui Ageishi,Rui Ageishi,栃木SC,2025|栃木SC,2025|栃木SC|224.65,2024-2025,224.65,Right Midfield,224.65,100.0,Midfield,,,,,Right Midfield(225min/100.0%),SH,サイドハーフ,Right Midfield (Position Group: Midfield)
Rui Osako,Rui Osako,相模原,2025|相模原,2025|相模原|878.53,2024-2025,878.53,Left Midfield,666.39,75.85,Midfield,Left Wing Back,72.63,8.27,Full Back,"Left Midfield(666min/75.9%), Left Wing Back(73min/8.3%), Attacking Midfield(60min/6.9%), Left Winger(29min/3.3%), Right Midfield(25min/2.9%), Right Winger(25min/2.8%)",SH,サイドハーフ,Left Midfield (Position Group: Midfield)
Rui Tone,Rui Tone,FC大阪,2025|FC大阪; 2024|FC大阪,2025|FC大阪|1289.25; 2024|FC大阪|642.96,2024-2025,1932.21,Left Winger,1049.7,54.33,Wide Attacker,LW,613.93,31.77,Wide Attacker,"Left Winger(1050min/54.3%), LW(614min/31.8%), Left Forward(201min/10.4%), Center Forward(33min/1.7%), CF(22min/1.1%), RW(7min/0.4%), Right Winger(5min/0.3%)",SH,サイドハーフ,Left Winger (Position Group: Wide Attacker)
Ryo Nagai,Ryo Nagai,北九州,2024|北九州; 2025|北九州,2024|北九州|1947.41; 2025|北九州|1681.17,2024-2025,3628.58,CF,1947.41,53.67,Center Forward,Center Forward,1681.17,46.33,Center Forward,"CF(1947min/53.7%), Center Forward(1681min/46.3%)",FW,フォワード,CF (Position Group: Center Forward)
Ryo Niizato,Ryo Niizato,岩手,2024|岩手,2024|岩手|2399.26,2024-2025,2399.26,RM,622.2,25.93,Midfield,LCB,574.88,23.96,Central Defender,"RM(622min/25.9%), LCB(575min/24.0%), LM(492min/20.5%), CF(366min/15.2%), DM(279min/11.6%), AM(51min/2.1%), RCB(15min/0.6%)",SH,サイドハーフ,RM (Position Group: Midfield)
Ryo Nishitani,Ryo Nishitani,岐阜,2025|岐阜; 2024|岐阜,2025|岐阜|2688.92; 2024|岐阜|1698.64,2024-2025,4387.56,Center Forward,1201.51,27.38,Center Forward,Center Midfield,860.44,19.61,Midfield,"Center Forward(1202min/27.4%), Center Midfield(860min/19.6%), AM(587min/13.4%), Right Winger(370min/8.4%), LM(311min/7.1%), RM(285min/6.5%), CF(278min/6.3%), Attacking Midfield(194min/4.4%), LF(102min/2.3%), LW(87min/2.0%), Right Defensive Midfield(64min/1.5%), RW(48min/1.1%)",FW,フォワード,Center Forward (Position Group: Center Forward)
Ryo Okui,Ryo Okui,栃木Ｃ,2025|栃木Ｃ,2025|栃木Ｃ|2615.20,2024-2025,2615.2,Left Back,1745.1,66.73,Full Back,Right Back,870.1,33.27,Full Back,"Left Back(1745min/66.7%), Right Back(870min/33.3%)",SB,サイドバック,Left Back (Position Group: Full Back)
